Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,X,13,9.1,11.2,25,258
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,E,18.4,12.5,15.7,18,251
HYUNDAI,EQUUS,LARGE,5,8,A8,Z,15.7,10.2,13.2,21,304
HYUNDAI,GENESIS,LARGE,3.8,6,A8,X,13,8.7,11.1,25,255
HYUNDAI,SONATA,LARGE,2,4,A6,X,11.4,7.5,9.6,29,221
HYUNDAI,SONATA,LARGE,2.4,4,A6,X,9.8,7,8.5,33,196
JAGUAR,XJ AWD,LARGE,3,6,AS8,Z,14.6,9.6,12.4,23,285
JAGUAR,XJ SUPERCHARGED,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJ SUPERCHARGED,LARGE,5,8,AS8,E,20.6,13.6,17.5,16,280
JAGUAR,XJL AWD PORTFOLIO,LARGE,3,6,AS8,Z,14.7,9.6,12.4,23,285
JAGUAR,XJL SUPERCHARGED,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJL SUPERCHARGED,LARGE,5,8,AS8,E,20.6,13.6,17.5,16,280
JAGUAR,XJR,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJR LWB,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
KIA,CADENZA,LARGE,3.3,6,A6,X,12.7,8.8,10.9,26,251
KIA,FORTE 5,LARGE,1.6,4,A6,X,11.1,8,9.7,29,223
KIA,FORTE 5,LARGE,1.6,4,M6,X,11.1,8.2,9.8,29,225
KIA,FORTE 5,LARGE,2,4,A6,X,9.7,6.8,8.4,34,193
KIA,FORTE 5,LARGE,2,4,M6,X,9.8,7,8.5,33,196
LINCOLN,MKS AWD,LARGE,3.5,6,AS6,X,13.7,9.4,11.8,24,271
LINCOLN,MKS AWD,LARGE,3.7,6,AS6,X,13.1,9,11.3,25,260
MASERATI,QUATTROPORTE GTS,LARGE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
MASERATI,QUATTROPORTE SQ4,LARGE,3,6,AS8,Z,15.9,9.7,13.1,22,301
MERCEDES-BENZ,S 550 4MATIC LWB,LARGE,4.7,8,AS7,Z,14.3,9.5,12.1,23,278
MERCEDES-BENZ,S 550 4MATIC SWB,LARGE,4.7,8,AS7,Z,14.2,9.4,12,24,276
MERCEDES-BENZ,S 63 AMG 4MATIC,LARGE,5.5,8,AS7,Z,15.6,10.3,13.2,21,304
PORSCHE,PANAMERA,LARGE,3.6,6,AM7,Z,12.9,8.4,10.9,26,251
PORSCHE,PANAMERA 4,LARGE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255
PORSCHE,PANAMERA 4S,LARGE,3,6,AM7,Z,13.4,8.8,11.3,25,260
PORSCHE,PANAMERA 4S EXECUTIVE,LARGE,3,6,AM7,Z,13.7,8.9,11.5,25,264
PORSCHE,PANAMERA GTS,LARGE,4.8,8,AM7,Z,15.1,9.7,12.7,22,292
PORSCHE,PANAMERA S,LARGE,3,6,AM7,Z,13.4,8.8,11.3,25,260
PORSCHE,PANAMERA TURBO,LARGE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
PORSCHE,PANAMERA TURBO EXECUTIVE,LARGE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
ROLLS-ROYCE,GHOST,LARGE,6.6,12,A8,Z,19.1,12.3,16,18,368
ROLLS-ROYCE,GHOST EWB,LARGE,6.6,12,A8,Z,19.1,12.3,16,18,368
ROLLS-ROYCE,PHANTOM,LARGE,6.7,12,A8,Z,20.7,12.8,17.1,17,393
ROLLS-ROYCE,PHANTOM EWB,LARGE,6.7,12,A8,Z,20.7,12.7,17.1,17,393
AUDI,A8L,LARGE,3,6,AS8,Z,12.6,8,10.5,27,242
AUDI,A8L,LARGE,4,8,AS8,Z,13.2,8.3,11,26,258
AUDI,A8L,LARGE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344
AUDI,A8L TDI (modified),LARGE,3,6,AS8,D,9.8,6.5,8.4,34,224
BMW,328i xDRIVE GRAN TURISMO,LARGE,2,4,AS8,Z,10.6,7.2,9.1,31,209
BMW,335i xDRIVE GRAN TURISMO,LARGE,3,6,AS8,Z,11.9,7.8,10,28,230
BMW,535i xDRIVE GRAN TURISMO,LARGE,3,6,AS8,Z,12.8,8.9,11,26,253
BMW,550i xDRIVE GRAN TURISMO,LARGE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,740Ld xDRIVE SEDAN,LARGE,3,6,AS8,D,10.2,7.1,8.8,32,238
BMW,740Li xDRIVE SEDAN,LARGE,3,6,AS8,Z,12.1,8.1,10.3,27,237
BMW,750i xDRIVE SEDAN,LARGE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,750Li xDRIVE SEDAN,LARGE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,760Li SEDAN,LARGE,6,12,AS8,Z,18.7,11.6,15.5,18,356
BMW,ACTIVEHYBRID 7L,LARGE,3,6,AS8,Z,10.6,7.7,9.3,30,214
BMW,ALPINA B7 xDRIVE LWB,LARGE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,ALPINA B7 xDRIVE SWB,LARGE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
CADILLAC,XTS,LARGE,3.6,6,AS6,X,13.6,8.6,11.3,25,260
CADILLAC,XTS AWD,LARGE,3.6,6,AS6,X,13.7,8.9,11.6,24,267
CADILLAC,XTS Vsport AWD,LARGE,3.6,6,AS6,Z,14.8,9.9,12.6,22,290
CHEVROLET,IMPALA,LARGE,2.5,4,AS6,X,10.6,7.5,9.2,31,212
CHEVROLET,IMPALA,LARGE,3.6,6,AS6,X,12.5,8.2,10.6,27,244
CHEVROLET,IMPALA,LARGE,3.6,6,AS6,E,17,11.5,14.5,19,232
CHRYSLER,300,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,300 FFV,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,300 FFV,LARGE,3.6,6,A8,E,16.8,10.3,13.9,20,222
CHRYSLER,300 (MDS),LARGE,5.7,8,A8,X,14.8,9.3,12.3,23,283
CHRYSLER,300 AWD,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,E,17.3,11.7,14.8,19,237
DODGE,CHARGER,LARGE,3.6,6,A5,X,13.7,8.9,11.5,25,264
DODGE,CHARGER FFV,LARGE,3.6,6,A5,X,13.7,8.9,11.5,25,264
DODGE,CHARGER FFV,LARGE,3.6,6,A5,E,18.7,12.4,15.9,18,254
DODGE,CHARGER,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,237
DODGE,CHARGER FFV,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,237
DODGE,CHARGER FFV,LARGE,3.6,6,A8,E,16.8,10.3,13.9,20,222
DODGE,CHARGER (MDS),LARGE,5.7,8,A5,X,15.7,9.6,12.9,22,297
DODGE,CHARGER (MDS),LARGE,5.7,8,A8,X,14.8,9.3,12.3,23,283
DODGE,CHARGER AWD,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,E,17.3,11.7,14.8,19,237
DODGE,CHARGER AWD (MDS),LARGE,5.7,8,A5,X,16.1,10,13.4,21,308
DODGE,CHARGER SRT 392 HEMI,LARGE,6.4,8,A8,Z,15.7,9.5,12.9,22,297
DODGE,CHARGER SRT HELLCAT,LARGE,6.2,8,A8,Z,18,10.7,14.7,19,338
FORD,C-MAX HYBRID,LARGE,2,4,AV,X,5.6,6.4,6,47,138
FORD,TAURUS,LARGE,2,4,AS6,X,10.5,7.4,9.1,31,209
FORD,TAURUS AWD,LARGE,3.5,6,AS6,X,13.9,9.5,11.9,24,274
FORD,TAURUS FFV,LARGE,3.5,6,AS6,X,12.2,8.2,10.4,27,239
FORD,TAURUS FFV,LARGE,3.5,6,AS6,E,17.4,11.3,14.7,19,235
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,X,13,9.1,11.3,25,260
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,E,18.8,12.6,16,18,256
HYUNDAI,EQUUS,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
HYUNDAI,GENESIS AWD,LARGE,3.8,6,AS8,X,14.4,9.4,12.1,23,278
HYUNDAI,GENESIS AWD,LARGE,5,8,AS8,Z,17.3,10.5,14.2,20,327
HYUNDAI,SONATA,LARGE,2,4,AS6,X,10.4,7.4,9.1,31,209
HYUNDAI,SONATA,LARGE,2.4,4,AS6,X,9.8,6.7,8.4,34,193
HYUNDAI,SONATA SPORT/LIMITED,LARGE,2.4,4,AS6,X,9.8,6.7,8.4,34,193
JAGUAR,XJ AWD,LARGE,3,6,AS8,Z,14.6,9.6,12.4,23,285
JAGUAR,XJ SUPERCHARGED,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJ SUPERCHARGED,LARGE,5,8,AS8,E,20.6,13.6,17.5,16,280
JAGUAR,XJL AWD PORTFOLIO,LARGE,3,6,AS8,Z,14.7,9.6,12.5,23,288
JAGUAR,XJL SUPERCHARGED,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJL SUPERCHARGED,LARGE,5,8,AS8,E,20.6,13.6,17.5,16,280
JAGUAR,XJR,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJR LWB,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,306
KIA,CADENZA,LARGE,3.3,6,AS6,X,12.7,8.4,10.7,26,246
KIA,FORTE 5,LARGE,1.6,4,AS6,X,11.1,8,9.7,29,223
KIA,FORTE 5,LARGE,1.6,4,M6,X,11.1,8.2,9.8,29,225
KIA,FORTE 5,LARGE,2,4,AS6,X,9.5,7.2,8.5,33,196
KIA,FORTE 5,LARGE,2,4,M6,X,9.7,6.9,8.4,34,193
KIA,K900,LARGE,3.8,6,AS8,X,13.3,8.9,11.3,25,260
KIA,K900,LARGE,5,8,AS8,Z,15.7,10.3,13.3,21,306
LINCOLN,MKS AWD,LARGE,3.5,6,AS6,X,13.9,9.5,11.9,24,274
LINCOLN,MKS AWD,LARGE,3.7,6,AS6,X,13.1,9,11.2,25,258
MASERATI,QUATTROPORTE GTS,LARGE,3.8,8,AS8,Z,17.5,10.7,14.5,19,334
MASERATI,QUATTROPORTE SQ4,LARGE,3,6,AS8,Z,15.7,9.7,13,22,299
MERCEDES-BENZ,S 550 4MATIC LWB,LARGE,4.7,8,AS7,Z,14.8,9.8,12.5,23,288
MERCEDES-BENZ,S 600,LARGE,6,12,AS7,Z,18.1,11,14.9,19,343
MERCEDES-BENZ,S 63 AMG 4MATIC,LARGE,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
MERCEDES-BENZ,S 65 AMG,LARGE,6,12,AS7,Z,18.5,11.8,15.5,18,357
PORSCHE,PANAMERA,LARGE,3.6,6,AM7,Z,12.9,8.4,10.9,26,251
PORSCHE,PANAMERA 4,LARGE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255
PORSCHE,PANAMERA 4S,LARGE,3,6,AM7,Z,13.4,8.8,11.4,25,262
PORSCHE,PANAMERA 4S EXECUTIVE,LARGE,3,6,AM7,Z,13.7,8.9,11.5,25,264
PORSCHE,PANAMERA GTS,LARGE,4.8,8,AM7,Z,15.1,9.7,12.7,22,292
PORSCHE,PANAMERA S,LARGE,3,6,AM7,Z,13.4,8.8,11.4,25,262
PORSCHE,PANAMERA TURBO,LARGE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
PORSCHE,PANAMERA TURBO EXECUTIVE,LARGE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
PORSCHE,PANAMERA TURBO S,LARGE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
PORSCHE,PANAMERA TURBO S EXECUTIVE,LARGE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
ROLLS-ROYCE,GHOST,LARGE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,GHOST EWB,LARGE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,PHANTOM,LARGE,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,PHANTOM EWB,LARGE,6.7,12,AS8,Z,20.7,12.9,17.2,16,396
AUDI,A8L QUATTRO,LARGE,4,8,AS8,Z,13.1,8.3,10.9,26,255
AUDI,A8L QUATTRO,LARGE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344
BMW,328i xDRIVE GRAN TURISMO,LARGE,2,4,AS8,Z,10.5,6.9,8.9,32,209
BMW,335i xDRIVE GRAN TURISMO,LARGE,3,6,AS8,Z,12,7.9,10.2,28,238
BMW,535i xDRIVE GRAN TURISMO,LARGE,3,6,AS8,Z,13,9.1,11.2,25,263
BMW,550i xDRIVE GRAN TURISMO,LARGE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283
BMW,750i xDRIVE,LARGE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283
BMW,750Li xDRIVE,LARGE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283
CADILLAC,CT6,LARGE,2,4,AS8,Z,11,7.6,9.5,30,222
CADILLAC,CT6 AWD,LARGE,3,6,AS8,Z,13,9,11.2,25,263
CADILLAC,CT6 AWD,LARGE,3.6,6,AS8,X,12.8,8.7,11,26,257
CADILLAC,XTS,LARGE,3.6,6,AS6,X,13.6,8.6,11.3,25,263
CADILLAC,XTS AWD,LARGE,3.6,6,AS6,X,13.9,8.9,11.6,24,273
CADILLAC,XTS Vsport AWD,LARGE,3.6,6,AS6,Z,15,10.2,12.8,22,302
CHEVROLET,IMPALA,LARGE,2.5,4,AS6,X,10.6,7.5,9.2,31,215
CHEVROLET,IMPALA FFV,LARGE,3.6,6,AS6,X,12.5,8.2,10.6,27,248
CHEVROLET,IMPALA FFV,LARGE,3.6,6,AS6,E,17,11.5,14.5,19,239
CHRYSLER,300,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,240
CHRYSLER,300 FFV,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,240
CHRYSLER,300 FFV,LARGE,3.6,6,A8,E,16.8,10.3,13.9,20,229
CHRYSLER,300 (MDS),LARGE,5.7,8,A8,X,14.8,9.3,12.3,23,289
CHRYSLER,300 AWD,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,257
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,257
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,E,17.3,11.7,14.8,19,243
DODGE,CHARGER,LARGE,3.6,6,A5,X,13.7,8.9,11.5,25,271
DODGE,CHARGER,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,240
DODGE,CHARGER FFV,LARGE,3.6,6,A5,X,13.7,8.9,11.5,25,271
DODGE,CHARGER FFV,LARGE,3.6,6,A5,E,18.7,12.4,15.9,18,264
DODGE,CHARGER FFV,LARGE,3.6,6,A8,X,12.4,7.7,10.3,27,240
DODGE,CHARGER FFV,LARGE,3.6,6,A8,E,16.8,10.3,13.9,20,229
DODGE,CHARGER (MDS),LARGE,5.7,8,A5,X,15.7,9.6,12.9,22,302
DODGE,CHARGER (MDS),LARGE,5.7,8,A8,X,14.8,9.3,12.3,23,289
DODGE,CHARGER (MDS),LARGE,6.4,8,A8,Z,15.7,9.5,12.9,22,302
DODGE,CHARGER AWD,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,257
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,X,12.8,8.6,10.9,26,257
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,E,17.3,11.7,14.8,19,243
DODGE,CHARGER AWD (MDS),LARGE,5.7,8,A5,X,16.1,10,13.4,21,313
DODGE,CHARGER SRT (MDS),LARGE,6.4,8,A8,Z,15.7,9.5,12.9,22,302
DODGE,CHARGER SRT HELLCAT,LARGE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
FORD,C-MAX HYBRID,LARGE,2,4,AV,X,5.6,6.4,6,47,140
FORD,TAURUS,LARGE,2,4,AS6,X,11.8,8.1,10.1,28,237
FORD,TAURUS FFV,LARGE,3.5,6,AS6,X,13.1,8.7,11.1,25,260
FORD,TAURUS FFV,LARGE,3.5,6,AS6,E,17.6,11.6,14.9,19,248
FORD,TAURUS AWD,LARGE,3.5,6,AS6,X,14.7,9.8,12.5,23,293
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,X,13.6,9.8,12.4,23,291
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,E,18.7,13.3,16.3,17,271
HYUNDAI,EQUUS,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,312
HYUNDAI,GENESIS AWD,LARGE,3.8,6,AS8,X,14.4,9.4,12.1,23,285
HYUNDAI,GENESIS AWD,LARGE,5,8,AS8,Z,17.3,10.5,14.2,20,332
HYUNDAI,SONATA,LARGE,2,4,AS6,X,10.4,7.4,9.1,31,214
HYUNDAI,SONATA,LARGE,2.4,4,AS6,X,9.4,6.5,8.1,35,191
HYUNDAI,SONATA SPORT/LIMITED,LARGE,2.4,4,AS6,X,10,7,8.6,33,204
JAGUAR,XJ R-SPORT 3.0 AWD,LARGE,3,6,AS8,Z,14,8.9,11.7,24,275
JAGUAR,XJL 3.0 AWD PORTFOLIO,LARGE,3,6,AS8,Z,14.1,9.3,11.9,24,279
JAGUAR,XJR,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,313
JAGUAR,XJR LWB,LARGE,5,8,AS8,Z,15.8,10.2,13.3,21,313
KIA,CADENZA,LARGE,3.3,6,AS6,X,12.7,8.4,10.7,26,251
KIA,FORTE 5,LARGE,1.6,4,AS6,X,11.1,8,9.7,29,228
KIA,FORTE 5,LARGE,1.6,4,M6,X,11.1,8.2,9.8,29,227
KIA,FORTE 5,LARGE,2,4,AS6,X,9.5,7.2,8.5,33,199
KIA,FORTE 5,LARGE,2,4,M6,X,9.7,6.9,8.4,34,197
KIA,K900,LARGE,3.8,6,AS8,X,13.9,9.2,11.8,24,278
KIA,K900,LARGE,5,8,AS8,X,15.6,10.6,13.4,21,318
KIA,OPTIMA,LARGE,1.6,4,AM7,X,8.4,6.1,7.4,38,175
KIA,OPTIMA,LARGE,2,4,AS6,X,10.9,7.4,9.3,30,222
KIA,OPTIMA,LARGE,2.4,4,AS6,X,9.4,6.5,8.1,35,193
LINCOLN,MKS AWD,LARGE,3.5,6,AS6,X,14.7,9.8,12.5,23,293
LINCOLN,MKS AWD,LARGE,3.7,6,AS6,X,14.2,9.8,12.2,23,287
MASERATI,QUATTROPORTE GTS,LARGE,3.8,8,AS8,Z,16.2,11,14,20,322
MASERATI,QUATTROPORTE S,LARGE,3,6,AS8,Z,15.2,10.2,12.9,22,300
MASERATI,QUATTROPORTE SQ4,LARGE,3,6,AS8,Z,15.1,10.2,12.9,22,302
MERCEDES-BENZ,AMG S 63,LARGE,5.5,8,AS7,Z,15.7,10.1,13.2,21,313
MERCEDES-BENZ,AMG S 65,LARGE,6,12,AS7,Z,18.5,11.8,15.5,18,361
MERCEDES-BENZ,MAYBACH S 600,LARGE,6,12,AS7,Z,18.2,11.7,15.3,18,359
MERCEDES-BENZ,S 550 4MATIC LWB,LARGE,4.7,8,AS7,Z,14.8,9.8,12.5,23,287
MERCEDES-BENZ,S 600,LARGE,6,12,AS7,Z,17.3,11,14.5,19,340
PORSCHE,PANAMERA,LARGE,3.6,6,AM7,Z,12.9,8.4,10.9,26,255
PORSCHE,PANAMERA GTS,LARGE,4.8,8,AM7,Z,15.1,9.7,12.7,22,298
PORSCHE,PANAMERA S,LARGE,3,6,AM7,Z,13.4,8.8,11.4,25,267
PORSCHE,PANAMERA 4,LARGE,3.6,6,AM7,Z,13.1,8.7,11.1,25,262
PORSCHE,PANAMERA 4S,LARGE,3,6,AM7,Z,13.4,8.8,11.4,25,267
PORSCHE,PANAMERA 4S EXECUTIVE,LARGE,3,6,AM7,Z,13.7,8.9,11.5,25,271
PORSCHE,PANAMERA TURBO,LARGE,4.8,8,AM7,Z,15.3,9.7,12.8,22,300
PORSCHE,PANAMERA TURBO EXECUTIVE,LARGE,4.8,8,AM7,Z,15.4,9.8,12.9,22,303
PORSCHE,PANAMERA TURBO S,LARGE,4.8,8,AM7,Z,15.3,9.7,12.8,22,300
PORSCHE,PANAMERA TURBO S EXECUTIVE,LARGE,4.8,8,AM7,Z,15.4,9.8,12.9,22,303
ROLLS-ROYCE,GHOST,LARGE,6.6,12,AS8,Z,19.2,12.4,16.1,18,373
ROLLS-ROYCE,GHOST EWB,LARGE,6.6,12,AS8,Z,19.2,12.4,16.1,18,373
ROLLS-ROYCE,PHANTOM,LARGE,6.7,12,AS8,Z,20.9,12.7,17.2,16,403
ROLLS-ROYCE,PHANTOM EWB,LARGE,6.7,12,AS8,Z,20.7,12.9,17.2,16,404
AUDI,A8L,LARGE,4,8,AS8,Z,13.1,8.3,10.9,26,255
BMW,330i xDRIVE GRAN TURISMO,LARGE,2,4,AS8,Z,10.5,7.4,9.1,31,213
BMW,340i xDRIVE GRAN TURISMO,LARGE,3,6,AS8,Z,11.9,8.1,10.2,28,238
BMW,740Li xDRIVE,LARGE,3,6,AS8,Z,11.9,8.1,10.2,28,238
BMW,750i xDRIVE,LARGE,4.4,8,AS8,Z,13.8,9.1,11.7,24,273
BMW,750Li xDRIVE,LARGE,4.4,8,AS8,Z,14.7,9.7,12.5,23,292
BMW,ALPINA B7 xDRIVE,LARGE,4.4,8,AS8,Z,14.7,9.7,12.5,23,292
BMW,M760i xDRIVE,LARGE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
CADILLAC,CT6,LARGE,2,4,AS8,Z,11,7.8,9.5,30,223
CADILLAC,CT6 AWD,LARGE,3,6,AS8,Z,13,9.1,11.2,25,263
CADILLAC,CT6 AWD,LARGE,3.6,6,AS8,X,12.8,8.8,11,26,259
CADILLAC,XTS,LARGE,3.6,6,AS6,X,13.2,8.5,11.1,25,260
CADILLAC,XTS AWD,LARGE,3.6,6,AS6,X,13.7,9,11.6,24,272
CADILLAC,XTS Vsport AWD,LARGE,3.6,6,AS6,Z,15,10.3,12.8,22,299
CHEVROLET,IMPALA,LARGE,2.5,4,AS6,X,10.9,7.9,9.5,30,224
CHEVROLET,IMPALA FFV,LARGE,3.6,6,AS6,X,12.5,8.3,10.6,27,249
CHEVROLET,IMPALA FFV,LARGE,3.6,6,AS6,E,17,11.7,14.6,19,240
CHRYSLER,300,LARGE,3.6,6,A8,X,12.4,7.8,10.3,27,242
CHRYSLER,300 (MDS),LARGE,5.7,8,A8,X,14.7,9.4,12.3,23,289
CHRYSLER,300 AWD,LARGE,3.6,6,A8,X,12.8,8.7,11,26,258
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,X,12.8,8.7,11,26,258
CHRYSLER,300 AWD FFV,LARGE,3.6,6,A8,E,17.6,12,15,19,248
DODGE,CHARGER,LARGE,3.6,6,A5,X,13.7,9,11.6,24,271
DODGE,CHARGER,LARGE,3.6,6,A8,X,12.4,7.8,10.3,27,242
DODGE,CHARGER (MDS),LARGE,5.7,8,A5,X,15.6,9.7,12.9,22,302
DODGE,CHARGER (MDS),LARGE,5.7,8,A8,X,14.7,9.4,12.3,23,289
DODGE,CHARGER (MDS),LARGE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
DODGE,CHARGER AWD,LARGE,3.6,6,A8,X,12.8,8.7,11,26,258
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,X,12.8,8.7,11,26,258
DODGE,CHARGER AWD FFV,LARGE,3.6,6,A8,E,17.6,12,15,19,248
DODGE,CHARGER AWD,LARGE,5.7,8,A5,X,16,10.1,13.3,21,312
DODGE,CHARGER SRT (MDS),LARGE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
DODGE,CHARGER SRT HELLCAT,LARGE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
FORD,C-MAX HYBRID,LARGE,2,4,AV,X,5.7,6.2,5.9,48,138
FORD,TAURUS,LARGE,2,4,AS6,X,11.8,8.1,10.1,28,238
FORD,TAURUS FFV,LARGE,3.5,6,AS6,X,13.1,8.7,11.1,25,260
FORD,TAURUS FFV,LARGE,3.5,6,AS6,E,17.6,11.7,15,19,249
FORD,TAURUS AWD,LARGE,3.5,6,AS6,X,14.7,9.8,12.5,23,293
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,X,13.6,9.9,12.4,23,291
FORD,TAURUS FFV AWD,LARGE,3.5,6,AS6,E,18.7,13.4,16.3,17,271
GENESIS,G80 AWD,LARGE,3.8,6,AS8,X,14.3,9.5,12.1,23,286
GENESIS,G80 AWD,LARGE,5,8,AS8,Z,17.2,10.5,14.2,20,332
GENESIS,G90 AWD,LARGE,3.3,6,AS8,Z,13.7,9.7,11.9,24,279
GENESIS,G90 AWD,LARGE,5,8,AS8,Z,15.2,10.2,13,22,306
HONDA,CIVIC HATCHBACK,LARGE,1.5,4,AV,X,7.7,6,6.9,41,162
HONDA,CIVIC HATCHBACK,LARGE,1.5,4,AV7,X,7.9,6.6,7.3,39,170
HONDA,CIVIC HATCHBACK,LARGE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170
HONDA,CIVIC HATCHBACK,LARGE,1.5,4,M6,X,8,6.2,7.2,39,167
HONDA,CIVIC HATCHBACK,LARGE,1.5,4,M6,Z,8,6.2,7.2,39,167
HYUNDAI,IONIQ,LARGE,1.6,4,AM6,X,4.3,4.4,4.4,64,103
HYUNDAI,IONIQ BLUE,LARGE,1.6,4,AM6,X,4.2,4,4.1,69,96
HYUNDAI,SONATA,LARGE,2,4,AS6,X,10.5,7.6,9.2,31,216
HYUNDAI,SONATA,LARGE,2.4,4,AS6,X,9.4,6.7,8.2,34,194
HYUNDAI,SONATA SPORT/LIMITED,LARGE,2.4,4,AS6,X,10,7.2,8.7,32,207
JAGUAR,XJ R-SPORT 3.0 AWD,LARGE,3,6,AS8,Z,14,9,11.8,24,276
JAGUAR,XJL PORTFOLIO 3.0 AWD,LARGE,3,6,AS8,Z,14,9.4,11.9,24,280
JAGUAR,XJR,LARGE,5,8,AS8,Z,15.8,10.3,13.3,21,313
JAGUAR,XJR  LWB,LARGE,5,8,AS8,Z,15.8,10.3,13.3,21,313
KIA,CADENZA,LARGE,3.3,6,AS8,X,11.5,8.5,10.2,28,237
KIA,FORTE 5,LARGE,1.6,4,AM7,X,9.4,7.9,8.7,32,207
KIA,FORTE 5,LARGE,2,4,AS6,X,9.7,7,8.3,34,197
KIA,FORTE 5,LARGE,2,4,M6,X,9.8,7.3,8.7,32,204
KIA,K900,LARGE,3.8,6,AS8,X,13.8,9.3,11.8,24,279
KIA,K900,LARGE,5,8,AS8,Z,15.6,10.6,13.3,21,317
KIA,OPTIMA,LARGE,2.4,4,AS6,X,9.6,6.8,8.4,34,198
KIA,OPTIMA FE,LARGE,2.4,4,AS6,X,9.3,6.6,8,35,190
KIA,OPTIMA TURBO,LARGE,2,4,AS6,X,10.9,7.6,9.4,30,224
LINCOLN,CONTINENTAL AWD,LARGE,2.7,6,AS6,X,14,9.5,12,24,281
